Generator,Regular Expression Pattern
Apache Axis,This file was auto-generated from WSDL by the Apache Axis WSDL2Java emitter.
Apache Cayenne,It is probably a good idea to avoid changing this class manually since it may be overwritten next time code is regenerated. If you need to make any customizations please use subclass. 
Apache Cayenne,"It is probably a good idea to avoid changing this class manually, since it may be overwritten next time code is regenerated. If you need to make any customizations please use subclass. "
Apache Cayenne,"It is probably a good idea to avoid changing this class manually, since it may be overwritten next time code is regenerated. If you need to make any customizations, please use subclass."
Apache Cayenne,"It is a good idea to avoid changing this class manually, since it will be overwritten next time code is regenerated. If you need to make any customizations, put them in a subclass."
Apache Thrift,Autogenerated by Thrift DO NOT EDIT UNLESS YOU ARE SURE THAT YOU KNOW WHAT YOU ARE DOING
Compiere,Generated Model - DO NOT CHANGE
Compiere,Generated Model for
CUP,CUP \version generated parser. @version \timestamp
CUP,CUP generated class containing symbol constants.
CUP,The following code was generated by CUP \version \timestamp
Eclipse,This method is called from within the constructor to initialize the form. WARNING: Do NOT modify this code. The content of this method is always regenerated by the Form Editor.
Java Annotation,@generated
Java Annotation,@generated modifiable
JavaCC,Generated By:JavaCC: Do not edit this line.
JavaCC,The actual parser implementing this interface is generated from JavaCC grammar.
JavaCC,This class is generated by JavaCC.
JavaNCSS,WARNING TO \project DEVELOPERS DO NOT MODIFY THIS FILE! MODIFY THE FILES UNDER THE JAVANCSS DIRECTORY LOCATED AT THE ROOT OF THE \project PROJECT. FOLLOW THE PROCEDURE FOR MERGING THE LATEST JAVANCSS INTO \project LOCATED AT javancss/coberturaREADME.txt
JAXB,"This file was generated by the JavaTM Architecture for XML Binding(JAXB) Reference Implementation, \version See <a href=""http://java.sun.com/xml/jaxb""> http://java.sun.com/xml/jaxb</a> Any modifications to this file will be lost upon recompilation of the source schema. Generated on: \timestamp"
JAXB,"This file was generated by the JavaTM Architecture for XML Binding(JAXB) Reference Implementation,"
Jena vocabulary generator,Vocabulary Class generated by Jena vocabulary generator
JFlex,NOTE: This class was automatically generated. DO NOT MODIFY.
JFlex,The following code was generated by JFlex \version on \timestamp
JFlex,"This class is a scanner generated by <a~href=""http://www.jflex.de/"">JFlex</a> \version on \timestamp from the specification file "
JJTree,Generated By:JJTree: Do not edit this line.
SableCC,This file was generated by SableCC (http://www.sablecc.org/).
SableCC,This file was generated by SableCC
schemagen,@author Auto-generated by schemagen on \timestamp
Snowball,This class was automatically generated by a Snowball to Java compiler It implements the stemming algorithm defined by a snowball script.
Snowball,This file was generated automatically by the Snowball to Java compiler
Eclipse,TODO Auto-generated method stub
Junit,TODO review the generated test code and remove the default call to fail.
Unkown,"This file has been automatically generated, DO NOT EDIT"
JavaCC JJTree,Generated By:JJTree&JavaCC: Do not edit this line.
NetBeans,Do NOT modify this code. The content of this method is always regenerated by the Form Editor.
